Similarity-based	similarity-based
14	14
;	;
c	c
$1	$1
contributes	contributes
to	to
the	the
	
similarity	similarity
of	of
81	81
to	to
$2	$2
a	a
value	value
between	between
0	0
and	and
1	1
indicating	indicating
its	its
affinity	affinity
to	to
$2	$2
instead	instead
of	of
	
voting	voting
either	either
0	0
(	(
if	if
14	14
;	;
E	e
$2	$2
)	)
or	or
1	1
(	(
if	if
14	14
;	;
~	~
82	82
)	)
Analogously	analogously
sentences	sentences
contribute	contribute
values	values
	
to	to
word	word
similarity	similarity
	
One	one
may	may
view	view
the	the
iterations	iterations
as	as
successively	successively
capturing	capturing
parameterized	parameterized
genealogical	genealogical
	
relationships	relationships
Let	let
words	words
that	that
share	share
contexts	contexts
be	be
called	called
direct	direct
relatives	relatives
;	;
then	then
words	words
	
that	that
share	share
neighbors	neighbors
(	(
have	have
similar	similar
co-occurrence	co-occurrence
patterns	patterns
)	)
are	are
once-removed	once-removed
relatives	relatives
	
These	these
two	two
family	family
relationships	relationships
are	are
captured	captured
by	by
the	the
first	first
iteration	iteration
and	and
also	also
by	by
most	most
	
traditional	traditional
similarity	similarity
measures	measures
which	which
are	are
based	based
on	on
co-occurrences	co-occurrences
The	the
second	second
iteration	iteration
	
then	then
brings	brings
together	together
twice-removed	twice-removed
relatives	relatives
The	the
third	third
iteration	iteration
captures	captures
higher	higher
	
similarity	similarity
relationships	relationships
and	and
so	so
on	on
Note	note
that	that
the	the
level	level
of	of
relationship	relationship
here	here
is	is
a	a
gradually	gradually
	
consolidated	consolidated
real-valued	real-valued
quantity	quantity
and	and
is	is
dictated	dictated
by	by
the	the
amount	amount
and	and
the	the
quality	quality
	
of	of
the	the
evidence	evidence
gleaned	gleaned
from	from
the	the
corpus	corpus
;	;
it	it
is	is
not	not
an	an
all-or-none	all-or-none
relatedness	relatedness
tag	tag
as	as
	
in	in
genealogy	genealogy
	
The	the
following	following
simple	simple
example	example
demonstrates	demonstrates
the	the
difference	difference
between	between
our	our
similarity	similarity
	
measure	measure
and	and
pure	pure
co-occurrence-based	co-occurrence-based
similarity	similarity
measures	measures
which	which
cannot	cannot
capture	capture
	
4	4
The	the
weight	weight
of	of
a	a
word	word
estimates	estimates
its	its
expected	expected
contribution	contribution
to	to
the	the
disambiguation	disambiguation
task	task
and	and
is	is
a	a
product	product
	
of	of
several	several
factors	factors
:	:
the	the
frequency	frequency
of	of
the	the
word	word
in	in
the	the
corpus	corpus
;	;
its	its
frequency	frequency
in	in
the	the
training	training
set	set
relative	relative
to	to
	
that	that
in	in
the	the
entire	entire
corpus	corpus
;	;
the	the
textual	textual
distance	distance
from	from
the	the
target	target
word	word
;	;
and	and
its	its
part	part
of	of
speech	speech
(	(
more	more
details	details
	
on	on
word	word
weights	weights
appear	appear
in	in
Section	section
A	a
3	3
of	of
the	the
appendix	appendix
)	)
All	all
the	the
sentences	sentences
that	that
include	include
a	a
given	given
word	word
	
are	are
assigned	assigned
identical	identical
weights	weights
	
45	45
	
Computational	computational
Linguistics	linguistics
Volume	volume
24	24
Number	number
1	1
	
higher-order	higher-order
relationships	relationships
Consider	consider
the	the
set	set
of	of
three	three
sentence	sentence
fragments	fragments
:	:
	
sl	sl
eat	eat
banana	banana
	
s2	s2
taste	taste
banana	banana
	
s3	s3
eat	eat
apple	apple
	
In	in
this	this
corpus	corpus
the	the
contextual	contextual
similarity	similarity
of	of
taste	taste
and	and
apple	apple
according	according
to	to
the	the
cooccurrence-	cooccurrence-
	
based	based
methods	methods
is	is
0	0
because	because
the	the
contexts	contexts
of	of
these	these
two	two
words	words
are	are
disjoint	disjoint
	
In	in
comparison	comparison
our	our
iterative	iterative
algorithm	algorithm
will	will
capture	capture
some	some
contextual	contextual
similarity	similarity
:	:
	
â	â
€	€
¢	¢
Initialization	initialization
Every	every
word	word
is	is
similar	similar
to	to
itself	itself
only	only
	
â	â
€	€
¢	¢
First	first
iteration	iteration
The	the
sentences	sentences
eat	eat
banana	banana
and	and
eat	eat
apple	apple
have	have
contextual	contextual
	
similarity	similarity
of	of
0	0
5	5
because	because
of	of
the	the
common	common
word	word
eat	eat
Furthermore	furthermore
the	the
	
sentences	sentences
eat	eat
banana	banana
and	and
taste	taste
banana	banana
have	have
contextual	contextual
similarity	similarity
0	0
5	5
:	:
	
--	--
banana	banana
is	is
learned	learned
to	to
be	be
similar	similar
to	to
apple	apple
because	because
of	of
their	their
common	common
	
usage	usage
(	(
eat	eat
banana	banana
and	and
eat	eat
apple	apple
)	)
;	;
	
-	-
-	-
taste	taste
is	is
similar	similar
to	to
eat	eat
because	because
of	of
their	their
common	common
usage	usage
(	(
taste	taste
banana	banana
	
and	and
eat	eat
banana	banana
)	)
;	;
	
-	-
-	-
taste	taste
and	and
apple	apple
are	are
not	not
similar	similar
(	(
yet	yet
)	)
	
â	â
€	€
¢	¢
Second	second
iteration	iteration
The	the
sentence	sentence
taste	taste
banana	banana
has	has
now	now
some	some
similarity	similarity
to	to
eat	eat
	
apple	apple
because	because
in	in
the	the
previous	previous
iteration	iteration
taste	taste
was	was
similar	similar
to	to
eat	eat
and	and
banana	banana
	
was	was
similar	similar
to	to
apple	apple
The	the
word	word
taste	taste
is	is
now	now
similar	similar
to	to
apple	apple
because	because
the	the
	
taste	taste
sentence	sentence
(	(
taste	taste
banana	banana
)	)
is	is
similar	similar
to	to
the	the
apple	apple
sentence	sentence
(	(
eat	eat
apple	apple
)	)
Yet	yet
	
banana	banana
is	is
more	more
similar	similar
to	to
apple	apple
than	than
taste	taste
because	because
the	the
similarity	similarity
value	value
of	of
	
banana	banana
and	and
apple	apple
further	further
increases	increases
in	in
the	the
second	second
iteration	iteration
	
This	this
simple	simple
example	example
demonstrates	demonstrates
the	the
transitivity	transitivity
of	of
our	our
similarity	similarity
measure	measure
which	which
	
allows	allows
it	it
to	to
extract	extract
high-order	high-order
contextual	contextual
relationships	relationships
In	in
more	more
complex	complex
situations	situations
the	the
	
transitivity-dependent	transitivity-dependent
spread	spread
of	of
similarity	similarity
is	is
slower	slower
because	because
each	each
word	word
is	is
represented	represented
	
by	by
many	many
more	more
sentences	sentences
	
The	the
most	most
important	important
properties	properties
of	of
the	the
similarity	similarity
computation	computation
algorithm	algorithm
are	are
convergence	convergence
	
(	(
see	see
Section	section
A	a
2	2
in	in
the	the
appendix	appendix
)	)
and	and
utility	utility
in	in
supporting	supporting
disambiguation	disambiguation
	
(	(
described	described
in	in
Section	section
3	3
)	)
;	;
three	three
other	other
properties	properties
are	are
as	as
follows	follows
First	first
word	word
similarity	similarity
	
computed	computed
according	according
to	to
the	the
above	above
algorithm	algorithm
is	is
asymmetric	asymmetric
For	for
example	example
drug	drug
is	is
more	more
	
similar	similar
to	to
traffic	traffic
than	than
traffic	traffic
is	is
to	to
drug	drug
because	because
traffic	traffic
is	is
mentioned	mentioned
more	more
frequently	frequently
	
in	in
drug	drug
contexts	contexts
than	than
drug	drug
is	is
mentioned	mentioned
in	in
contexts	contexts
of	of
traffic	traffic
(	(
which	which
has	has
many	many
other	other
	
usages	usages
)	)
Likewise	likewise
sentence	sentence
similarity	similarity
is	is
asymmetric	asymmetric
:	:
if	if
81	81
is	is
fully	fully
contained	contained
in	in
$2	$2
then	then
	
sire	sire
(	(
S1	s1
$2	$2
)	)
=	=
1	1
whereas	whereas
sim	sim
(	(
$2	$2
$1	$1
)	)
<	<
1	1
Second	second
words	words
with	with
a	a
small	small
count	count
in	in
the	the
	
training	training
set	set
will	will
have	have
unreliable	unreliable
similarity	similarity
values	values
These	these
however	however
are	are
multiplied	multiplied
by	by
a	a
	
very	very
low	low
weight	weight
when	when
used	used
in	in
sentence	sentence
similarity	similarity
evaluation	evaluation
because	because
the	the
frequency	frequency
	
in	in
the	the
training	training
set	set
is	is
taken	taken
into	into
account	account
in	in
computing	computing
the	the
word	word
weights	weights
Third	third
in	in
	
the	the
computation	computation
of	of
sim	sim
(	(
W1	w1
W2	w2
)	)
for	for
a	a
very	very
frequent	frequent
W2	w2
the	the
set	set
of	of
its	its
sentences	sentences
is	is
	
very	very
large	large
potentially	potentially
inflating	inflating
the	the
affinity	affinity
of	of
W1	w1
to	to
the	the
sentences	sentences
that	that
contain	contain
W2	w2
We	we
	
counter	counter
this	this
tendency	tendency
by	by
multiplying	multiplying
sire	sire
(	(
W1	w1
W2	w2
)	)
by	by
a	a
weight	weight
that	that
is	is
reciprocally	reciprocally
	
related	related
to	to
the	the
global	global
frequency	frequency
of	of
W2	w2
(	(
this	this
weight	weight
has	has
been	been
left	left
out	out
of	of
Equation	equation
4	4
to	to
	
keep	keep
the	the
notation	notation
there	there
simple	simple
)	)
	
46	46
	
Karov	karov
and	and
Edelman	edelman
Similarity-based	similarity-based
Word	word
Sense	sense
Disambiguation	disambiguation
	
2	2
3	3
Using	using
Similarity	similarity
to	to
Tag	tag
the	the
Training	training
Set	set
	
Following	following
convergence	convergence
each	each
sentence	sentence
in	in
the	the
training	training
set	set
is	is
assigned	assigned
the	the
sense	sense
of	of
its	its
	
most	most
similar	similar
sentence	sentence
in	in
one	one
of	of
the	the
feedback	feedback
sets	sets
of	of
sense	sense
si	si
using	using
the	the
final	final
sentence	sentence
	
similarity	similarity
matrix	matrix
Note	note
that	that
some	some
sentences	sentences
in	in
the	the
training	training
set	set
belong	belong
also	also
to	to
one	one
of	of
the	the
	
feedback	feedback
sets	sets
because	because
they	they
contain	contain
words	words
from	from
the	the
MRD	mrd
definition	definition
of	of
the	the
target	target
word	word
	
Those	those
sentences	sentences
are	are
automatically	automatically
assigned	assigned
the	the
sense	sense
of	of
the	the
feedback	feedback
set	set
to	to
which	which
they	they
	
belong	belong
since	since
they	they
are	are
most	most
similar	similar
to	to
themselves	themselves
Note	note
also	also
that	that
an	an
original	original
trainingset	trainingset
	
sentence	sentence
S	s
can	can
be	be
attracted	attracted
to	to
a	a
sentence	sentence
T	t
from	from
a	a
feedback	feedback
set	set
even	even
if	if
S	s
and	and
T	t
	
do	do
not	not
share	share
any	any
word	word
because	because
of	of
the	the
transitivity	transitivity
of	of
the	the
similarity	similarity
measure	measure
	
2	2
4	4
Learning	learning
the	the
typical	typical
uses	uses
of	of
each	each
sense	sense
	
We	we
partition	partition
the	the
examples	examples
of	of
each	each
sense	sense
into	into
typical	typical
use	use
sets	sets
by	by
grouping	grouping
all	all
the	the
	
sentences	sentences
that	that
were	were
attracted	attracted
to	to
the	the
same	same
feedback-set	feedback-set
sentence	sentence
That	that
sentence	sentence
and	and
	
all	all
the	the
original	original
sentences	sentences
attracted	attracted
to	to
it	it
form	form
a	a
class	class
of	of
examples	examples
for	for
a	a
typical	typical
usage	usage
	
Feedback-set	feedback-set
examples	examples
that	that
did	did
not	not
attract	attract
any	any
original	original
sentences	sentences
are	are
discarded	discarded
If	if
the	the
	
number	number
of	of
resulting	resulting
classes	classes
is	is
too	too
high	high
further	further
clustering	clustering
can	can
be	be
carried	carried
out	out
on	on
the	the
	
basis	basis
of	of
the	the
distance	distance
metric	metric
defined	defined
by	by
1	1
-	-
sim	sim
(	(
x	x
y	y
)	)
where	where
sire	sire
(	(
x	x
y	y
)	)
are	are
values	values
taken	taken
	
from	from
the	the
final	final
sentence	sentence
similarity	similarity
matrix	matrix
	
A	a
typical	typical
usage	usage
of	of
a	a
sense	sense
is	is
represented	represented
by	by
the	the
affinity	affinity
information	information
generalized	generalized
	
from	from
its	its
examples	examples
For	for
each	each
word	word
14	14
;	;
and	and
each	each
cluster	cluster
C	c
of	of
examples	examples
of	of
the	the
same	same
	
usage	usage
we	we
define	define
:	:
	
aff	aff
(	(
W	w
C	c
)	)
=	=
max	max
aff	aff
(	(
W	w
S	s
)	)
(	(
5	5
)	)
	
SEC	sec
	
=	=
max	max
max	max
sim	sim
(	(
W	w
Wi	wi
)	)
(	(
6	6
)	)
	
SEC	sec
WiCS	wics
	
For	for
each	each
cluster	cluster
we	we
construct	construct
its	its
affinity	affinity
vector	vector
whose	whose
ith	ith
component	component
indicates	indicates
the	the
	
affinity	affinity
of	of
word	word
i	i
to	to
the	the
cluster	cluster
It	it
suffices	suffices
to	to
generalize	generalize
the	the
affinity	affinity
information	information
(	(
rather	rather
	
than	than
similarity	similarity
)	)
because	because
new	new
examples	examples
are	are
judged	judged
on	on
the	the
basis	basis
of	of
their	their
similarity	similarity
to	to
	
each	each
cluster	cluster
:	:
in	in
the	the
computation	computation
of	of
sire	sire
(	(
S1	s1
$2	$2
)	)
(	(
Equation	equation
3	3
)	)
the	the
only	only
information	information
	
concerning	concerning
$2	$2
is	is
its	its
affinity	affinity
values	values
	
2	2
5	5
Testing	testing
New	new
Examples	examples
	
Given	given
a	a
new	new
sentence	sentence
S	s
containing	containing
a	a
target	target
word	word
W	w
we	we
determine	determine
its	its
sense	sense
by	by
computing	computing
	
the	the
similarity	similarity
of	of
S	s
to	to
each	each
of	of
the	the
previously	previously
obtained	obtained
clusters	clusters
Ck	ck
and	and
returning	returning
	
the	the
sense	sense
si	si
of	of
the	the
most	most
similar	similar
cluster	cluster
:	:
	
sim	sim
(	(
Snew	snew
Ck	ck
)	)
=	=
~	~
weight	weight
(	(
W	w
Snew	snew
)	)
aff	aff
(	(
W	w
Ck	ck
)	)
(	(
7	7
)	)
	
W	w
E	e
S	s
ew	ew
	
sim	sim
(	(
Snew	snew
si	si
)	)
=	=
max	max
sim	sim
(	(
Snew	snew
C	c
)	)
(	(
8	8
)	)
	
Ccsi	ccsi
	
3	3
Experimental	experimental
Evaluation	evaluation
of	of
the	the
Method	method
	
We	we
tested	tested
the	the
algorithm	algorithm
on	on
the	the
Treebank-2	treebank-2
corpus	corpus
which	which
contains	contains
one	one
million	million
words	words
	
from	from
the	the
Wall	wall
Street	street
Journal	journal
1989	1989
and	and
is	is
considered	considered
a	a
small	small
corpus	corpus
for	for
the	the
present	present
	
task	task
During	during
the	the
development	development
and	and
the	the
tuning	tuning
of	of
the	the
algorithm	algorithm
we	we
used	used
the	the
method	method
	
of	of
pseudowords	pseudowords
(	(
Gale	gale
Church	church
and	and
Yarowsky	yarowsky
1992	1992
;	;
Schitze	schitze
1992	1992
)	)
to	to
avoid	avoid
the	the
need	need
	
for	for
manual	manual
verification	verification
of	of
the	the
resulting	resulting
sense	sense
tags	tags
	
The	the
method	method
of	of
pseudowords	pseudowords
is	is
based	based
on	on
the	the
observation	observation
that	that
a	a
disambiguation	disambiguation
	
process	process
designed	designed
to	to
distinguish	distinguish
between	between
two	two
meanings	meanings
of	of
the	the
same	same
word	word
should	should
also	also
	
47	47
	
Computational	computational
Linguistics	linguistics
Volume	volume
24	24
Number	number
1	1
	
Table	table
1	1
	
The	the
four	four
polysemous	polysemous
test	test
words	words
and	and
the	the
seed	seed
words	words
they	they
generated	generated
with	with
the	the
use	use
of	of
the	the
MRD	mrd
	
Word	word
Seed	seed
Words	words
	
drug	drug
1	1
stimulant	stimulant
alcoholist	alcoholist
alcohol	alcohol
trafficker	trafficker
crime	crime
	
2	2
medicine	medicine
pharmaceutical	pharmaceutical
remedy	remedy
cure	cure
medication	medication
pharmacists	pharmacists
	
prescription	prescription
	
1	1
conviction	conviction
judgment	judgment
acquittal	acquittal
term	term
	
2	2
string	string
word	word
constituent	constituent
dialogue	dialogue
talk	talk
conversation	conversation
text	text
	
1	1
trial	trial
litigation	litigation
receivership	receivership
bankruptcy	bankruptcy
appeal	appeal
action	action
case	case
lawsuit	lawsuit
	
foreclosure	foreclosure
proceeding	proceeding
	
2	2
garment	garment
fabric	fabric
trousers	trousers
pants	pants
dress	dress
frock	frock
fur	fur
silks	silks
hat	hat
boots	boots
coat	coat
shirt	shirt
	
sweater	sweater
vest	vest
waistcoat	waistcoat
skirt	skirt
jacket	jacket
cloth	cloth
	
1	1
musician	musician
instrumentalist	instrumentalist
performer	performer
artist	artist
actor	actor
twirler	twirler
comedian	comedian
dancer	dancer
	
impersonator	impersonator
imitator	imitator
bandsman	bandsman
jazz	jazz
recorder	recorder
singer	singer
vocalist	vocalist
actress	actress
	
barnstormer	barnstormer
playactor	playactor
trouper	trouper
character	character
actor	actor
scene-stealer	scene-stealer
star	star
baseball	baseball
	
ball	ball
football	football
basketball	basketball
	
2	2
participant	participant
contestant	contestant
trader	trader
analyst	analyst
dealer	dealer
	
sentence	sentence
	
suit	suit
	
player	player
	
be	be
able	able
to	to
separate	separate
the	the
meanings	meanings
of	of
two	two
different	different
words	words
Thus	thus
a	a
data	data
set	set
for	for
testing	testing
	
a	a
disambiguation	disambiguation
algorithm	algorithm
can	can
be	be
obtained	obtained
by	by
starting	starting
with	with
two	two
collections	collections
of	of
sentences	sentences
	
one	one
containing	containing
a	a
word	word
X	x
and	and
the	the
other	other
a	a
word	word
y	y
and	and
inserting	inserting
y	y
instead	instead
of	of
	
every	every
appearance	appearance
of	of
-Y	-y
in	in
the	the
first	first
collection	collection
The	the
algorithm	algorithm
is	is
then	then
tested	tested
on	on
the	the
union	union
	
of	of
the	the
two	two
collections	collections
in	in
which	which
X	x
is	is
now	now
a	a
polysemous	polysemous
word	word
The	the
performance	performance
of	of
	
the	the
algorithm	algorithm
is	is
judged	judged
by	by
its	its
ability	ability
to	to
separate	separate
the	the
sentences	sentences
that	that
originally	originally
contained	contained
	
~'	~'
from	from
those	those
that	that
originally	originally
contained	contained
32	32
;	;
any	any
mistakes	mistakes
can	can
be	be
used	used
to	to
supervise	supervise
the	the
	
tuning	tuning
of	of
the	the
algorithm	algorithm
5	5
	
3	3
1	1
Test	test
data	data
	
The	the
final	final
algorithm	algorithm
was	was
tested	tested
on	on
a	a
total	total
of	of
500	500
examples	examples
of	of
four	four
polysemous	polysemous
words	words
:	:
	
drug	drug
sentence	sentence
suit	suit
and	and
player	player
(	(
see	see
Table	table
2	2
;	;
although	although
we	we
confined	confined
the	the
tests	tests
to	to
nouns	nouns
	
the	the
algorithm	algorithm
is	is
applicable	applicable
to	to
any	any
part	part
of	of
speech	speech
)	)
The	the
relatively	relatively
small	small
number	number
of	of
	
polysemous	polysemous
words	words
we	we
studied	studied
was	was
dictated	dictated
by	by
the	the
size	size
and	and
nature	nature
of	of
the	the
corpus	corpus
(	(
we	we
	
are	are
currently	currently
testing	testing
additional	additional
words	words
using	using
texts	texts
from	from
the	the
British	british
National	national
Corpus	corpus
)	)
	
As	as
the	the
MRD	mrd
we	we
used	used
a	a
combination	combination
of	of
the	the
on-line	on-line
versions	versions
of	of
the	the
Webster's	webster's
and	and
	
the	the
Oxford	oxford
dictionaries	dictionaries
and	and
the	the
WordNet	wordnet
system	system
(	(
the	the
latter	latter
used	used
as	as
a	a
thesaurus	thesaurus
only	only
;	;
	
see	see
Section	section
4	4
3	3
)	)
The	the
resulting	resulting
collection	collection
of	of
seed	seed
words	words
(	(
that	that
is	is
words	words
used	used
to	to
generate	generate
	
the	the
feedback	feedback
sets	sets
)	)
is	is
listed	listed
in	in
Table	table
1	1
	
We	we
found	found
that	that
the	the
single	single
best	best
source	source
of	of
seed	seed
words	words
was	was
WordNet	wordnet
(	(
used	used
as	as
thesaurus	thesaurus
	
only	only
)	)
The	the
number	number
of	of
seed	seed
words	words
per	per
sense	sense
turned	turned
out	out
to	to
be	be
of	of
little	little
significance	significance
	
For	for
example	example
whereas	whereas
the	the
MRD	mrd
yielded	yielded
many	many
garment-related	garment-related
words	words
to	to
be	be
used	used
as	as
	
seeds	seeds
for	for
suit	suit
in	in
the	the
'garment'	'garment'
sense	sense
these	these
generated	generated
a	a
small	small
feedback	feedback
set	set
because	because
	
of	of
the	the
low	low
frequency	frequency
of	of
garment-related	garment-related
words	words
in	in
the	the
training	training
corpus	corpus
In	in
comparison	comparison
	
there	there
was	was
a	a
strong	strong
correlation	correlation
between	between
the	the
size	size
of	of
the	the
feedback	feedback
set	set
and	and
the	the
disambiguation	disambiguation
	
performance	performance
indicating	indicating
that	that
a	a
larger	larger
corpus	corpus
is	is
likely	likely
to	to
improve	improve
the	the
results	results
	
As	as
can	can
be	be
seen	seen
from	from
the	the
above	above
the	the
original	original
training	training
data	data
(	(
before	before
the	the
addition	addition
of	of
	
5	5
Note	note
that	that
our	our
disambiguation	disambiguation
algorithm	algorithm
works	works
the	the
best	best
for	for
polysemous	polysemous
words	words
whose	whose
senses	senses
are	are
	
unrelated	unrelated
to	to
each	each
other	other
in	in
which	which
case	case
the	the
overlap	overlap
between	between
the	the
feedback	feedback
sets	sets
is	is
minimized	minimized
;	;
likewise	likewise
	
the	the
method	method
of	of
training	training
with	with
pseudowords	pseudowords
amounts	amounts
to	to
an	an
assumption	assumption
of	of
independence	independence
of	of
the	the
different	different
	
senses	senses
	
48	48
	
Karov	karov
and	and
Edelman	edelman
Similarity-based	similarity-based
Word	word
Sense	sense
Disambiguation	disambiguation
	
Table	table
2	2
	
A	a
summary	summary
of	of
the	the
algorithm's	algorithm's
performance	performance
on	on
the	the
four	four
test	test
words	words
	
Word	word
Senses	senses
Sample	sample
Size	size
Feedback	feedback
Size	size
%	%
Correct	correct
%	%
Correct	correct
	
per	per
Sense	sense
Total	total
	
drug	drug
narcotic	narcotic
65	65
100	100
92	92
3	3
90	90
5	5
	
medicine	medicine
83	83
65	65
89	89
1	1
	
sentence	sentence
judgment	judgment
23	23
327	327
100	100
0	0
92	92
5	5
	
grammar	grammar
4	4
42	42
50	50
0	0
	
suit	suit
court	court
212	212
1	1
461	461
98	98
6	6
94	94
8	8
	
garment	garment
21	21
81	81
55	55
0	0
	
player	player
performer	performer
48	48
230	230
87	87
5	5
92	92
3	3
	
participant	participant
44	44
1	1
552	552
97	97
7	7
	
the	the
feedback	feedback
sets	sets
)	)
consisted	consisted
of	of
a	a
few	few
dozen	dozen
examples	examples
in	in
comparison	comparison
to	to
thousands	thousands
of	of
	
examples	examples
needed	needed
in	in
other	other
corpus-based	corpus-based
methods	methods
(	(
Sch	sch
~itze	~itze
1992	1992
;	;
Yarowsky	yarowsky
1995	1995
)	)
The	the
	
average	average
success	success
rate	rate
of	of
our	our
algorithm	algorithm
on	on
the	the
500	500
appearances	appearances
of	of
the	the
four	four
test	test
words	words
	
was	was
92	92
%	%
	
3	3
2	2
The	the
Drug	drug
Experiment	experiment
	
We	we
now	now
present	present
in	in
detail	detail
several	several
of	of
the	the
results	results
obtained	obtained
with	with
the	the
word	word
drug	drug
Consider	consider
	
first	first
the	the
effects	effects
of	of
iteration	iteration
A	a
plot	plot
of	of
the	the
improvement	improvement
in	in
the	the
performance	performance
vs	vs
iteration	iteration
	
number	number
appears	appears
in	in
Figure	figure
2	2
The	the
success	success
rate	rate
is	is
plotted	plotted
for	for
each	each
sense	sense
and	and
for	for
the	the
	
weighted	weighted
average	average
of	of
both	both
senses	senses
we	we
considered	considered
(	(
the	the
weights	weights
are	are
proportional	proportional
to	to
the	the
	
number	number
of	of
examples	examples
of	of
each	each
sense	sense
)	)
Iterations	iterations
2	2
and	and
5	5
can	can
be	be
seen	seen
to	to
yield	yield
the	the
best	best
	
performance	performance
;	;
iteration	iteration
5	5
is	is
to	to
be	be
preferred	preferred
because	because
of	of
the	the
smaller	smaller
difference	difference
between	between
	
the	the
success	success
rates	rates
for	for
the	the
two	two
senses	senses
of	of
the	the
target	target
word	word
	
Figure	figure
3	3
shows	shows
how	how
the	the
similarity	similarity
values	values
develop	develop
with	with
iteration	iteration
number	number
For	for
each	each
	
example	example
S	s
of	of
the	the
'narcotic'	'narcotic'
sense	sense
of	of
drug	drug
the	the
value	value
of	of
simn	simn
(	(
S	s
narcotic	narcotic
)	)
increases	increases
with	with
n	n
	
Figure	figure
4	4
compares	compares
the	the
similarities	similarities
of	of
a	a
'narcotic'-sense	'narcotic'-sense
example	example
to	to
the	the
'narcotic'	'narcotic'
sense	sense
	
and	and
to	to
the	the
'medicine'	'medicine'
sense	sense
for	for
each	each
iteration	iteration
One	one
can	can
see	see
that	that
the	the
'medicine'	'medicine'
sense	sense
	
assignment	assignment
made	made
in	in
the	the
first	first
iteration	iteration
is	is
gradually	gradually
suppressed	suppressed
The	the
word	word
menace	menace
	
which	which
is	is
a	a
hint	hint
for	for
the	the
'narcotic'	'narcotic'
sense	sense
in	in
the	the
sentence	sentence
used	used
in	in
this	this
example	example
did	did
	
not	not
help	help
in	in
the	the
first	first
iteration	iteration
because	because
it	it
did	did
not	not
appear	appear
in	in
the	the
'narcotic'	'narcotic'
feedback	feedback
	
set	set
at	at
all	all
Thus	thus
in	in
iteration	iteration
1	1
the	the
similarity	similarity
of	of
the	the
sentence	sentence
to	to
the	the
'medicine'	'medicine'
sense	sense
	
was	was
0	0
15	15
vs	vs
a	a
similarity	similarity
of	of
0	0
1	1
to	to
the	the
'narcotic'	'narcotic'
sense	sense
In	in
iteration	iteration
2	2
menace	menace
was	was
	
learned	learned
to	to
be	be
similar	similar
to	to
other	other
'narcotic'-related	'narcotic'-related
words	words
yielding	yielding
a	a
small	small
advantage	advantage
for	for
	
the	the
'narcotic'	'narcotic'
sense	sense
In	in
iteration	iteration
3	3
further	further
similarity	similarity
values	values
were	were
updated	updated
and	and
there	there
	
was	was
a	a
clear	clear
advantage	advantage
to	to
the	the
'narcotic'	'narcotic'
sense	sense
(	(
0	0
93	93
vs	vs
0	0
89	89
for	for
'medicine'	'medicine'
)	)
Eventually	eventually
	
all	all
similarity	similarity
values	values
become	become
close	close
to	to
1	1
and	and
because	because
they	they
are	are
bounded	bounded
by	by
1	1
they	they
cannot	cannot
	
change	change
significantly	significantly
with	with
further	further
iterations	iterations
The	the
decision	decision
is	is
therefore	therefore
best	best
made	made
after	after
	
relatively	relatively
few	few
iterations	iterations
as	as
we	we
just	just
saw	saw
	
Table	table
3	3
shows	shows
the	the
most	most
similar	similar
words	words
found	found
for	for
the	the
words	words
with	with
the	the
highest	highest
weights	weights
	
in	in
the	the
drug	drug
example	example
(	(
low-similarity	low-similarity
words	words
have	have
been	been
omitted	omitted
)	)
Note	note
that	that
the	the
similarity	similarity
	
is	is
contextual	contextual
and	and
is	is
affected	affected
by	by
the	the
polysemous	polysemous
target	target
word	word
For	for
example	example
trafficking	trafficking
	
was	was
found	found
to	to
be	be
similar	similar
to	to
crime	crime
because	because
in	in
drug	drug
contexts	contexts
the	the
expressions	expressions
drug	drug
trafficking	trafficking
	
and	and
crime	crime
are	are
highly	highly
related	related
In	in
general	general
trafficking	trafficking
and	and
crime	crime
need	need
not	not
be	be
similar	similar
of	of
	
course	course
	
49	49
	
Computational	computational
Linguistics	linguistics
Volume	volume
24	24
Number	number
1	1
	
Table	table
3	3
	
The	the
drug	drug
experiment	experiment
;	;
the	the
nearest	nearest
neighbors	neighbors
of	of
the	the
highest-weight	highest-weight
words	words
	
Word	word
Most	most
Contextually	contextually
Similar	similar
Words	words
	
The	the
'Medicine'	'medicine'
Sense	sense
	
medication	medication
antibiotic	antibiotic
blood	blood
prescription	prescription
medicine	medicine
percentage	percentage
pressure	pressure
	
prescription	prescription
analyst	analyst
antibiotic	antibiotic
blood	blood
campaign	campaign
introduction	introduction
law	law
line-up	line-up
medication	medication
medicine	medicine
	
percentage	percentage
print	print
profit	profit
publicity	publicity
quarter	quarter
sedative	sedative
state	state
television	television
tranquilizer	tranquilizer
use	use
	
medicine	medicine
prescription	prescription
campaign	campaign
competition	competition
dollar	dollar
earnings	earnings
law	law
manufacturing	manufacturing
	
margin	margin
print	print
product	product
publicity	publicity
quarter	quarter
result	result
sale	sale
saving	saving
sedative	sedative
	
staff	staff
state	state
television	television
tranquilizer	tranquilizer
unit	unit
use	use
	
disease	disease
antibiotic	antibiotic
blood	blood
line-up	line-up
medication	medication
medicine	medicine
prescription	prescription
	
symptom	symptom
hypoglycemia	hypoglycemia
insulin	insulin
warning	warning
manufacturer	manufacturer
product	product
	
plant	plant
animal	animal
death	death
diabetic	diabetic
evidence	evidence
finding	finding
metabolism	metabolism
study	study
	
insulin	insulin
